,123541
Totem Games,530
BlueGiant Interactive,525
Imba Entertainment,524
Xaviant,524
TORaIKI,523
Sky Fallen,521
Radioactive Software,521
1C-Avalon,519
Mad Otter Games,519
Xtal Sword,519
Compulsion Games,519
Eutechnyx,516
Microblast Games,515
Crocodile Entertainment,515
Mechanist Games,514
ProjectorGames,511
Spry Fox LLC,511
Eclipse Games,511
Spicyhorse Games,509
Makivision Games,506
Trapdoor Inc.,506
Impromptu Games,506
Knuckle Cracker,500
Spidermonk Entertainment,498
Aldorlea Games,498
Zaxis Games,497
HyperSloth,497
Sonalysts,497
B-evil,497
PomPom,495
Oryx Design Lab,494
Rocket Bear Games,492
RC Knight,492
GameORE,489
Erik Svedäng,488
Forever Entertainment S. A.,486
Perfect World Shanghai,483
Treasure,483
South East Games,482
Centauri Production,481
Big Fat Alien,479
Brandon Brizzi,478
Jesse Gallagher,475
Phoenix Online Studios,473
Michael Brough,473
Deepred,472
Decaying Logic,471
Simon Roth,470
Screwfly Studios,467
Burut CT,467
Totem games,467
Wastelands Interactive,464
stage-nana,464
Trashmasters,463
UIG,462
EVGA,462
Zaratustra Productions,461
Shorebound Studios,461
MagicalTimeBean,461
Digital Leisure Inc.,458
4A GAMES,458
Honeyslug,456
Monte Cristo,455
Queasy Games,455
Axis Game Factory LLC,451
Yakiniku Banzai,451
New Star Games Ltd,450
Failbetter Games,450
Aperture Tag Team,449
b-alive gmbh,448
Culture Attack Studio,448
Tyler Doak,448
R C Knight,447
777 Studios,446
Turtle Cream,444
Anne Mönkkönen,444
Ville Mönkkönen,444
Milestone S.r.l.,443
OVERDRIVE,439
Enlight Software Limited,437
Llamasoft LTD,437
Stout Games,435
KADOKAWA GAMES / GRASSHOPPER MANUFACTURE,429
Giants Software,428
Matt Roszak,425
Gl33k,424
Onson Soft,421
Cuve Games,419
Chris Sawyer Productions,418
Camel101 LLC,415
Pawe? Mogi?a,414
Net Games Laboratory,413
Codemasters - Birmingham Studio,413
KranX Productions,412
Tamugaia,411
Saibot Studios,411
Semaphore,411
BumpkinBrothers,410
nFusion Interactive,410
Gremlin Interactive,409
KinifiGames LLC,408
Aterdux Entertainment,407
Pantera Entertainment,407
Binary Fortress Software,406
Games Faction,403
DigitalDNA Games LLC,403
WildTangent,402
Idol FX,401
Deep Red Limited,399
Okugi Studio,399
Browny Application,399
Sweet Dog Studios,398
Born Ready Games,397
Chaosoft Games,396
Black Market Games,395
BL-Logic,394
Zenimax Online Studios,392
InsGames,389
"Ntreev Soft Co., Ltd.",388
Naked Sky Entertainment,388
Icehole Games,387
Winged Cloud,386
GFI Russia,380
Ranmantaru Games,378
NDoors,378
Kihon Inc.,377
Ntronium Games,376
Waterlily Games,376
Firebrand Games,376
Hip Games,373
Rocket Jump,372
Alexey Bokulev,371
Rovio Entertainment Ltd,371
Nitro Games,369
Terrible Posture Games,369
Rail Slave Games,368
Hörberg Productions,366
Infogames Europe SA,364
Angry Mob Games,364
Mad Orange,364
Deconstructeam,361
Rain Games,361
Ideas Pad,359
attic Entertainment Software GmbH,358
Hashbang Games,358
4Head Studios,357
inner seas,357
Mouldy Toof Studios,356
Andrew Morrish,355
Geeta Games,355
Teyon,354
Trickstar Games,353
KDV Games,353
Neversoft,351
DigiFX Interactive,351
Fred Wood,350
Noumena Studios,350
Schell Games,349
Enter Skies,349
Dedication Games,347
Ankama Studio,347
Gamerizon,345
Alastair John Jack,345
Toontraxx Studios,344
Longbow Games,343
Geniaware Srl,341
React Games,341
"Sperasoft, Inc.",340
Sourena Game Studio,340
Code Force,340
exDream,337
Destrax Games,336
Sherman3D,336
Point Five Projects,335
Yazar Media Group LLC,334
Team2Bit,334
Last Dimension,334
JoyMasher,333
Citeremis Inc.,333
Matt Thorson,332
Exkee,332
GrendelGames,332
The Working Parts,332
KillHouse Games,332
En Masse Entertainment,331
Keen Games,331
Frozen Yak Entertainment,331
Yingpei Games,331
DoubleBear Productions,330
Apeiron,330
Metamorf,329
"Jackbox Games, Inc.",328
Stygian Software,328
WizarBox,327
SEGA Studios Australia,325
8th Floor Games,325
Interdimensional Games Inc,323
Andrii Vintsevych,322
Firedance Games,322
Eric Provan - Ayyo Games,321
I Sioux Game Productions B.V.,320
Tomkorp Computer Solutions Inc.,320
Fragment Production Ltd,319
"Amaranth Games, LLC",318
Appmania/i-Free,316
Emily Carroll,314
Utopian World of Sandwiches,314
Damian Sommer,314
SaintXi,314
PomPom Games,314
Deadbreed AB,314
Studio Bean,313
Relentless Software,312
GRAOUMF,311
Modulaatio Games,310
Dead Shark Triplepunch,310
Team Jolly Roger,308
Poppermost Productions,308
White Giant RPG Studios,307
RichMakeGame,307
Nocturnal works,307
North of Earth,306
Denis Galanin (mif2000),306
Chainsawesome Games,301
2Play,300
NovaLogic,300
"Engient, Inc",299
"BitMonster, Inc.",298
"CyberConnect2 Co., Ltd.",298
Quantized Bit,296
Entheogen Studios LLC,296
Gamepires,295
Glass Knuckle Games,295
Silden,294
MoaCube,294
Doublesix Games,294
K-D Lab,294
Nerd Kingdom Inc.,293
Windybeard,293
Space Budgie,292
